media_item_id,ingest_timestamp,primary_title,secondary_title,artist_id,media_cover_url
1032,2022-05-19 13:44:50.630495,XYLØ - sweetheart (Official Video),,,https://i.ytimg.com/vi/oPg45XHk4aA/default.jpg
35,2022-05-19 13:23:22.263764,YKG Hotboy - Piped Up,,,https://i.ytimg.com/vi/AxVHtxrLXZ4/default.jpg
37,2022-05-19 12:32:12.422398,"#Video | आज भर ढिल दऽ ढोरी जन छिल दऽ | #Neha Raj, #Bullet Raja का सुपरहिट भोजपुरी सांग | New Song",,,https://i.ytimg.com/vi/har6CU-OiG8/default.jpg
54,2022-05-19 12:32:12.534294,Kevin Kaarl - San Lucas (Video oficial),San Lucas,,https://i.ytimg.com/vi/7-Ikexq03O0/default.jpg
62,2022-05-19 13:42:23.2288,070 Shake – Skin and Bones (Official Video),Skin and Bones,226,https://i.ytimg.com/vi/qEfYSU689mw/default.jpg
64,2022-05-19 13:44:51.800327,Fifth Harmony - Work from Home (Official Video) ft. Ty Dolla $ign,Work from Home (feat. Ty Dolla $ign),59,https://i.ytimg.com/vi/5GL9JoH4Sws/default.jpg
85,2022-05-19 13:23:21.957511,Zé Neto e Cristiano - MELHOR SER UMA SAUDADE - EP TARJA PRETA,Melhor Ser Uma Saudade (En Vivo),198,https://i.ytimg.com/vi/XUbnhFO0bUc/default.jpg
96,2022-05-19 13:42:23.808905,OneRepublic - Run (Official Music Video),Run,148,https://i.ytimg.com/vi/TKkcsmvYTw4/default.jpg
168,2022-05-19 13:42:23.438102,Shakira - Don't Wait Up (Official Video),,200,https://i.ytimg.com/vi/mr7ZfX1E55g/default.jpg
189,2022-05-19 13:44:50.885141,Adele - Rolling in the Deep (Official Music Video),Rolling in the Deep,79,https://i.ytimg.com/vi/rYEDA3JcQqw/default.jpg
194,2022-05-19 13:42:22.670694,Adele - To Be Loved (Official Lyric Video),To Be Loved,79,https://i.ytimg.com/vi/_dlExeOyFh4/default.jpg
205,2022-05-19 13:44:53.210525,R. City - Locked Away ft. Adam Levine,Locked Away (feat. Adam Levine),64,https://i.ytimg.com/vi/6GUm5g8SG4o/default.jpg
